 [1] "Extract Method"                                                                                                                                                                                                                                                                                                                                           
[30] "Add Class Modifier, Change Attribute Type"                                                                                                                                                                                                                                                                                                                
[31] "Change Attribute Type"                                                                                                                                                                                                                                                                                                                                    
[32] "Add Parameter"                                                                                                                                                                                                                                                                                                                                            
[33] "Add Method Annotation, Add Parameter, Change Method Access Modifier, Extract Method"                                                                                                                                                                                                                                                                      
[34] "Add Attribute Modifier, Add Method Annotation, Add Parameter, Change Attribute Access Modifier, Change Method Access Modifier, Change Parameter Type, Change Variable Type, Extract Variable, Inline Method, Move And Rename Method, Move Attribute, Move Method, Parameterize Variable, Remove Attribute Modifier, Remove Parameter"                     
[35] "Add Parameter, Inline Method"                                                                                                                                                                                                                                                                                                                             
[36] "Add Attribute Modifier"                                                                                                                                                                                                                                                                                                                                   
[37] "Add Method Modifier, Add Parameter, Extract Method, Move Method, Remove Class Annotation, Remove Method Annotation"                                                                                                                                                                                                                                       
[38] ""                                                                                                                                                                                                                                                                                                                                                         
[39] "Add Method Annotation, Change Attribute Type, Change Method Access Modifier, Change Parameter Type, Change Variable Type, Remove Thrown Exception Type, Remove Variable Modifier, Replace Anonymous With Lambda"                                                                                                                                          
[40] "Add Method Modifier, Change Method Access Modifier, Extract Variable"                                                                                                                                                                                                                                                                                     
[41] "Modify Attribute Annotation"                                                                                                                                                                                                                                                                                                                              
[42] "Change Parameter Type, Change Return Type, Change Variable Type, Extract Method, Move And Rename Class, Move And Rename Method, Move Method"                                                                                                                                                                                                              
[43] "Add Attribute Modifier, Add Method Annotation, Add Parameter, Change Attribute Access Modifier, Change Method Access Modifier, Change Parameter Type, Encapsulate Attribute, Inline Method, Move And Rename Attribute, Remove Attribute Modifier, Remove Class Modifier, Remove Method Annotation, Remove Method Modifier, Replace Anonymous With Lambda" 
[44] "Extract Variable"                                                                                                                                                                                                                                                                                                                                         
[45] "Add Attribute Annotation, Change Attribute Access Modifier, Change Attribute Type, Change Return Type, Change Variable Type, Extract Method"                                                                                                                                                                                                              
[46] "Add Parameter"                                                                                                                                                                                                                                                                                                                                            
[47] "Add Attribute Modifier, Change Variable Type"                                                                                                                                                                                                                                                                                                             
[48] "Remove Thrown Exception Type"                                                                                                                                                                                                                                                                                                                             
[49] "Add Variable Modifier"                                                                                                                                                                                                                                                                                                                                    
[50] "Change Return Type, Encapsulate Attribute"                                                                                                                                                                                                                                                                                                                
[51] "Add Attribute Annotation, Add Attribute Modifier, Add Method Annotation, Add Parameter, Change Attribute Access Modifier, Change Attribute Type, Change Method Access Modifier, Change Parameter Type, Change Return Type, Change Variable Type, Encapsulate Attribute, Extract And Move Method, Extract Method, Move And Inline Method, Remove Parameter"
[52] "Add Method Annotation, Add Parameter, Change Attribute Type, Change Method Access Modifier, Change Parameter Type, Parameterize Variable, Remove Thrown Exception Type"                                                                                                                                                                                   
[53] "Add Method Annotation, Change Method Access Modifier, Change Parameter Type, Change Return Type, Extract Interface"                                                                                                                                                                                                                                       
[54] "Add Attribute Modifier"                                                                                                                                                                                                                                                                                                                                   
[55] "Add Method Annotation"                                                                                                                                                                                                                                                                                                                                    
[56] "Change Attribute Access Modifier"                                                                                                                                                                                                                                                                                                                         
[57] "Add Attribute Annotation, Change Attribute Access Modifier"                                                                                                                                                                                                                                                                                               
[58] "Add Parameter"                                                                                                                                                                                                                                                                                                                                            
[59] "Extract Method"                                                                                                                                                                                                                                                                                                                                           
[60] "Add Method Annotation, Change Attribute Type, Change Parameter Type, Extract Method, Extract Variable, Inline Method, Inline Variable"                                                                                                                                                                                                                    
[61] "Extract Variable"                                                                                                                                                                                                                                                                                                                                         
[62] "Change Attribute Type, Merge Class, Move Attribute, Move Method"                                                                                                                                                                                                                                                                                          
[63] "Change Class Access Modifier, Change Return Type, Extract Method, Remove Parameter"                                                                                                                                                                                                                                                                       
[64] "Change Variable Type"                                                                                                                                                                                                                                                                                                                                     
[65] "Add Parameter, Change Attribute Type"                                                                                                                                                                                                                                                                                                                     
[66] "Add Parameter, Parameterize Variable, Remove Parameter"                                                                                                                                                                                                                                                                                                   
[67] ""                                                                                                                                                                                                                                                                                                                                                         
[68] "Add Method Annotation, Add Parameter, Extract Method, Extract Variable"                                                                                                                                                                                                                                                                                   
[69] "Change Variable Type"                                                                                                                                                                                                                                                                                                                                     
[70] "Add Parameter, Change Attribute Access Modifier, Change Attribute Type, Extract Method, Remove Parameter, Remove Thrown Exception Type"                                                                                                                                                                                                                   
[71] "Extract Method"                                                                                                                                                                                                                                                                                                                                           
[72] "Add Parameter, Change Method Access Modifier, Change Parameter Type, Extract Method, Extract Variable, Parameterize Variable, Remove Method Annotation, Remove Parameter"                                                                                                                                                                                 
[73] "Add Attribute Annotation, Change Attribute Access Modifier"                                                                                                                                                                                                                                                                                               
[74] "Add Method Annotation, Remove Thrown Exception Type"                                                                                                                                                                                                                                                                                                      
[75] "Extract Method"                                                                                                                                                                                                                                                                                                                                           
[76] "Add Method Annotation, Change Method Access Modifier"                                                                                                                                                                                                                                                                                                     
[77] "Add Parameter, Change Method Access Modifier, Change Return Type, Extract Method, Inline Variable, Localize Parameter, Remove Method Modifier"                                                                                                                                                                                                            
[78] "Add Class Annotation, Add Class Modifier, Add Parameter, Change Class Access Modifier, Change Method Access Modifier, Move And Rename Method, Parameterize Variable"                                                                                                                                                                                      
[79] "Change Attribute Access Modifier, Extract And Move Method, Modify Method Annotation, Move Attribute, Remove Attribute Modifier"                                                                                                                                                                                                                           
[80] "Add Method Annotation, Change Method Access Modifier, Change Return Type, Change Variable Type, Extract Method, Inline Method"                                                                                                                                                                                                                            
[81] "Add Attribute Annotation, Add Method Annotation, Remove Parameter"                                                                                                                                                                                                                                                                                        
[82] "Change Attribute Access Modifier, Extract Class, Move Attribute"                                                                                                                                                                                                                                                                                          
[83] ""                                                                                                                                                                                                                                                                                                                                                         
[84] "Change Method Access Modifier, Extract Method, Extract Variable, Remove Parameter"                                                                                                                                                                                                                                                                        
[85] "Extract Method"                                                                                                                                                                                                                                                                                                                                           
[86] "Add Method Annotation, Add Method Modifier, Add Parameter, Change Method Access Modifier, Extract Method, Parameterize Attribute, Remove Method Modifier"                                                                                                                                                                                                 
[87] "Extract And Move Method, Inline Method"                                                                                                                                                                                                                                                                                                                   
[88] "Change Return Type"                                                                                                                                                                                                                                                                                                                                       
[89] "Change Variable Type, Extract Method, Parameterize Variable"                                                                                                                                                                                                                                                                                              
[90] "Extract Variable"                                                                                                                                                                                                                                                                                                                                         
[91] "Extract Variable"                                                                                                                                                                                                                                                                                                                                         
[92] "Add Method Annotation, Add Parameter, Add Thrown Exception Type, Change Attribute Type, Change Method Access Modifier, Change Return Type, Extract Method, Extract Variable, Inline Method, Move And Rename Method, Parameterize Variable, Remove Method Annotation, Remove Parameter"                                                                    
[93] ""                                                                                                                                                                                                                                                                                                                                                         
[94] "Change Attribute Access Modifier, Change Method Access Modifier, Extract Method, Inline Variable, Remove Method Annotation"                                                                                                                                                                                                                               
[95] "Add Parameter, Extract Variable"                                                                                                                                                                                                                                                                                                                          
[96] ""                                                                                                                                                                                                                                                                                                                                                         
[97] "Add Class Modifier, Add Parameter, Change Method Access Modifier, Extract Subclass, Push Down Attribute, Push Down Method, Remove Class Modifier"    
